X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
1385,1198,1082,1293,1385,1724,1301,1447,1607,1209,1268,1853,1671
1198,1082,1293,1385,1724,1301,1447,1607,1209,1268,1853,2657,1681
1082,1293,1385,1724,1301,1447,1607,1209,1268,1853,2657,1611,1282
1293,1385,1724,1301,1447,1607,1209,1268,1853,2657,1611,1671,1591
1385,1724,1301,1447,1607,1209,1268,1853,2657,1611,1671,1681,1522
1724,1301,1447,1607,1209,1268,1853,2657,1611,1671,1681,1282,1574
1301,1447,1607,1209,1268,1853,2657,1611,1671,1681,1282,1591,1489
1447,1607,1209,1268,1853,2657,1611,1671,1681,1282,1591,1522,1752
1607,1209,1268,1853,2657,1611,1671,1681,1282,1591,1522,1574,1639
1209,1268,1853,2657,1611,1671,1681,1282,1591,1522,1574,1489,1693
1268,1853,2657,1611,1671,1681,1282,1591,1522,1574,1489,1752,1655
1853,2657,1611,1671,1681,1282,1591,1522,1574,1489,1752,1639,1882
2657,1611,1671,1681,1282,1591,1522,1574,1489,1752,1639,1693,1906
1611,1671,1681,1282,1591,1522,1574,1489,1752,1639,1693,1655,1761
1671,1681,1282,1591,1522,1574,1489,1752,1639,1693,1655,1882,1868
1681,1282,1591,1522,1574,1489,1752,1639,1693,1655,1882,1906,1492
1282,1591,1522,1574,1489,1752,1639,1693,1655,1882,1906,1761,1525
1591,1522,1574,1489,1752,1639,1693,1655,1882,1906,1761,1868,1748
1522,1574,1489,1752,1639,1693,1655,1882,1906,1761,1868,1492,2381
1574,1489,1752,1639,1693,1655,1882,1906,1761,1868,1492,1525,1904
1489,1752,1639,1693,1655,1882,1906,1761,1868,1492,1525,1748,2040
1752,1639,1693,1655,1882,1906,1761,1868,1492,1525,1748,2381,1560
1639,1693,1655,1882,1906,1761,1868,1492,1525,1748,2381,1904,1519
1693,1655,1882,1906,1761,1868,1492,1525,1748,2381,1904,2040,1679
1655,1882,1906,1761,1868,1492,1525,1748,2381,1904,2040,1560,1922
1882,1906,1761,1868,1492,1525,1748,2381,1904,2040,1560,1519,1815
1906,1761,1868,1492,1525,1748,2381,1904,2040,1560,1519,1679,1822
1761,1868,1492,1525,1748,2381,1904,2040,1560,1519,1679,1922,2473
1868,1492,1525,1748,2381,1904,2040,1560,1519,1679,1922,1815,2277
1492,1525,1748,2381,1904,2040,1560,1519,1679,1922,1815,1822,1893
1525,1748,2381,1904,2040,1560,1519,1679,1922,1815,1822,2473,1687
1748,2381,1904,2040,1560,1519,1679,1922,1815,1822,2473,2277,1693
2381,1904,2040,1560,1519,1679,1922,1815,1822,2473,2277,1893,1942
1904,2040,1560,1519,1679,1922,1815,1822,2473,2277,1893,1687,2098
2040,1560,1519,1679,1922,1815,1822,2473,2277,1893,1687,1693,2307
1560,1519,1679,1922,1815,1822,2473,2277,1893,1687,1693,1942,2345
1519,1679,1922,1815,1822,2473,2277,1893,1687,1693,1942,2098,2081
1679,1922,1815,1822,2473,2277,1893,1687,1693,1942,2098,2307,1821
1922,1815,1822,2473,2277,1893,1687,1693,1942,2098,2307,2345,1673
1815,1822,2473,2277,1893,1687,1693,1942,2098,2307,2345,2081,1902
1822,2473,2277,1893,1687,1693,1942,2098,2307,2345,2081,1821,2266
2473,2277,1893,1687,1693,1942,2098,2307,2345,2081,1821,1673,2197
2277,1893,1687,1693,1942,2098,2307,2345,2081,1821,1673,1902,2090
1893,1687,1693,1942,2098,2307,2345,2081,1821,1673,1902,2266,2037
1687,1693,1942,2098,2307,2345,2081,1821,1673,1902,2266,2197,1877
1693,1942,2098,2307,2345,2081,1821,1673,1902,2266,2197,2090,2447
1942,2098,2307,2345,2081,1821,1673,1902,2266,2197,2090,2037,2306
2098,2307,2345,2081,1821,1673,1902,2266,2197,2090,2037,1877,2719
2307,2345,2081,1821,1673,1902,2266,2197,2090,2037,1877,2447,3003
2345,2081,1821,1673,1902,2266,2197,2090,2037,1877,2447,2306,3308
2081,1821,1673,1902,2266,2197,2090,2037,1877,2447,2306,2719,2858
1821,1673,1902,2266,2197,2090,2037,1877,2447,2306,2719,3003,2843
1673,1902,2266,2197,2090,2037,1877,2447,2306,2719,3003,3308,2775
1902,2266,2197,2090,2037,1877,2447,2306,2719,3003,3308,2858,3075
2266,2197,2090,2037,1877,2447,2306,2719,3003,3308,2858,2843,3622
2197,2090,2037,1877,2447,2306,2719,3003,3308,2858,2843,2775,3269
2090,2037,1877,2447,2306,2719,3003,3308,2858,2843,2775,3075,3128
2037,1877,2447,2306,2719,3003,3308,2858,2843,2775,3075,3622,3444
1877,2447,2306,2719,3003,3308,2858,2843,2775,3075,3622,3269,2880
2447,2306,2719,3003,3308,2858,2843,2775,3075,3622,3269,3128,3046
2306,2719,3003,3308,2858,2843,2775,3075,3622,3269,3128,3444,3307
2719,3003,3308,2858,2843,2775,3075,3622,3269,3128,3444,2880,3861
3003,3308,2858,2843,2775,3075,3622,3269,3128,3444,2880,3046,3737
3308,2858,2843,2775,3075,3622,3269,3128,3444,2880,3046,3307,3806
2858,2843,2775,3075,3622,3269,3128,3444,2880,3046,3307,3861,3636
2843,2775,3075,3622,3269,3128,3444,2880,3046,3307,3861,3737,3141
2775,3075,3622,3269,3128,3444,2880,3046,3307,3861,3737,3806,3507
3075,3622,3269,3128,3444,2880,3046,3307,3861,3737,3806,3636,3963
3622,3269,3128,3444,2880,3046,3307,3861,3737,3806,3636,3141,3635
3269,3128,3444,2880,3046,3307,3861,3737,3806,3636,3141,3507,3891
3128,3444,2880,3046,3307,3861,3737,3806,3636,3141,3507,3963,4168
3444,2880,3046,3307,3861,3737,3806,3636,3141,3507,3963,3635,3989
2880,3046,3307,3861,3737,3806,3636,3141,3507,3963,3635,3891,4176
3046,3307,3861,3737,3806,3636,3141,3507,3963,3635,3891,4168,4071
3307,3861,3737,3806,3636,3141,3507,3963,3635,3891,4168,3989,4465
3861,3737,3806,3636,3141,3507,3963,3635,3891,4168,3989,4176,4634
3737,3806,3636,3141,3507,3963,3635,3891,4168,3989,4176,4071,4823
3806,3636,3141,3507,3963,3635,3891,4168,3989,4176,4071,4465,4494
3636,3141,3507,3963,3635,3891,4168,3989,4176,4071,4465,4634,3874
3141,3507,3963,3635,3891,4168,3989,4176,4071,4465,4634,4823,3509
3507,3963,3635,3891,4168,3989,4176,4071,4465,4634,4823,4494,4002
3963,3635,3891,4168,3989,4176,4071,4465,4634,4823,4494,3874,4284
3635,3891,4168,3989,4176,4071,4465,4634,4823,4494,3874,3509,4174
3891,4168,3989,4176,4071,4465,4634,4823,4494,3874,3509,4002,4317
4168,3989,4176,4071,4465,4634,4823,4494,3874,3509,4002,4284,4007
3989,4176,4071,4465,4634,4823,4494,3874,3509,4002,4284,4174,3992
4176,4071,4465,4634,4823,4494,3874,3509,4002,4284,4174,4317,3622
4071,4465,4634,4823,4494,3874,3509,4002,4284,4174,4317,4007,4056
4465,4634,4823,4494,3874,3509,4002,4284,4174,4317,4007,3992,4538
4634,4823,4494,3874,3509,4002,4284,4174,4317,4007,3992,3622,4850
4823,4494,3874,3509,4002,4284,4174,4317,4007,3992,3622,4056,4094
4494,3874,3509,4002,4284,4174,4317,4007,3992,3622,4056,4538,4294
3874,3509,4002,4284,4174,4317,4007,3992,3622,4056,4538,4850,4497
3509,4002,4284,4174,4317,4007,3992,3622,4056,4538,4850,4094,3267
4002,4284,4174,4317,4007,3992,3622,4056,4538,4850,4094,4294,3906
4284,4174,4317,4007,3992,3622,4056,4538,4850,4094,4294,4497,4127
4174,4317,4007,3992,3622,4056,4538,4850,4094,4294,4497,3267,5810
4317,4007,3992,3622,4056,4538,4850,4094,4294,4497,3267,3906,4301
4007,3992,3622,4056,4538,4850,4094,4294,4497,3267,3906,4127,4301
3992,3622,4056,4538,4850,4094,4294,4497,3267,3906,4127,5810,4105
3622,4056,4538,4850,4094,4294,4497,3267,3906,4127,5810,4301,3373
4056,4538,4850,4094,4294,4497,3267,3906,4127,5810,4301,4301,3602
4538,4850,4094,4294,4497,3267,3906,4127,5810,4301,4301,4105,4267
4850,4094,4294,4497,3267,3906,4127,5810,4301,4301,4105,3373,4432
4094,4294,4497,3267,3906,4127,5810,4301,4301,4105,3373,3602,4369
4294,4497,3267,3906,4127,5810,4301,4301,4105,3373,3602,4267,4070
4497,3267,3906,4127,5810,4301,4301,4105,3373,3602,4267,4432,3732
3267,3906,4127,5810,4301,4301,4105,3373,3602,4267,4432,4369,3222
3906,4127,5810,4301,4301,4105,3373,3602,4267,4432,4369,4070,3520
4127,5810,4301,4301,4105,3373,3602,4267,4432,4369,4070,3732,4029
5810,4301,4301,4105,3373,3602,4267,4432,4369,4070,3732,3222,3565
4301,4301,4105,3373,3602,4267,4432,4369,4070,3732,3222,3520,2897
4301,4105,3373,3602,4267,4432,4369,4070,3732,3222,3520,4029,3143
4105,3373,3602,4267,4432,4369,4070,3732,3222,3520,4029,3565,2696
3373,3602,4267,4432,4369,4070,3732,3222,3520,4029,3565,2897,2618
3602,4267,4432,4369,4070,3732,3222,3520,4029,3565,2897,3143,2973
4267,4432,4369,4070,3732,3222,3520,4029,3565,2897,3143,2696,3356
4432,4369,4070,3732,3222,3520,4029,3565,2897,3143,2696,2618,4065
4369,4070,3732,3222,3520,4029,3565,2897,3143,2696,2618,2973,3778
4070,3732,3222,3520,4029,3565,2897,3143,2696,2618,2973,3356,4262
3732,3222,3520,4029,3565,2897,3143,2696,2618,2973,3356,4065,3880
3222,3520,4029,3565,2897,3143,2696,2618,2973,3356,4065,3778,2853
3520,4029,3565,2897,3143,2696,2618,2973,3356,4065,3778,4262,3779
4029,3565,2897,3143,2696,2618,2973,3356,4065,3778,4262,3880,3770
3565,2897,3143,2696,2618,2973,3356,4065,3778,4262,3880,2853,4173
2897,3143,2696,2618,2973,3356,4065,3778,4262,3880,2853,3779,5444
3143,2696,2618,2973,3356,4065,3778,4262,3880,2853,3779,3770,5272
2696,2618,2973,3356,4065,3778,4262,3880,2853,3779,3770,4173,4106
2618,2973,3356,4065,3778,4262,3880,2853,3779,3770,4173,5444,3535
2973,3356,4065,3778,4262,3880,2853,3779,3770,4173,5444,5272,3807
3356,4065,3778,4262,3880,2853,3779,3770,4173,5444,5272,4106,4265
4065,3778,4262,3880,2853,3779,3770,4173,5444,5272,4106,3535,4798
3778,4262,3880,2853,3779,3770,4173,5444,5272,4106,3535,3807,4792
4262,3880,2853,3779,3770,4173,5444,5272,4106,3535,3807,4265,4998
3880,2853,3779,3770,4173,5444,5272,4106,3535,3807,4265,4798,4360
2853,3779,3770,4173,5444,5272,4106,3535,3807,4265,4798,4792,4442
3779,3770,4173,5444,5272,4106,3535,3807,4265,4798,4792,4998,4192
3770,4173,5444,5272,4106,3535,3807,4265,4798,4792,4998,4360,5534
4173,5444,5272,4106,3535,3807,4265,4798,4792,4998,4360,4442,4917
5444,5272,4106,3535,3807,4265,4798,4792,4998,4360,4442,4192,5828
5272,4106,3535,3807,4265,4798,4792,4998,4360,4442,4192,5534,5418
4106,3535,3807,4265,4798,4792,4998,4360,4442,4192,5534,4917,6267
3535,3807,4265,4798,4792,4998,4360,4442,4192,5534,4917,5828,4617
3807,4265,4798,4792,4998,4360,4442,4192,5534,4917,5828,5418,5092
4265,4798,4792,4998,4360,4442,4192,5534,4917,5828,5418,6267,5533
4798,4792,4998,4360,4442,4192,5534,4917,5828,5418,6267,4617,8369
4792,4998,4360,4442,4192,5534,4917,5828,5418,6267,4617,5092,5803
4998,4360,4442,4192,5534,4917,5828,5418,6267,4617,5092,5533,6027
4360,4442,4192,5534,4917,5828,5418,6267,4617,5092,5533,8369,6089
4442,4192,5534,4917,5828,5418,6267,4617,5092,5533,8369,5803,5754
4192,5534,4917,5828,5418,6267,4617,5092,5533,8369,5803,6027,5292
5534,4917,5828,5418,6267,4617,5092,5533,8369,5803,6027,6089,6058
4917,5828,5418,6267,4617,5092,5533,8369,5803,6027,6089,5754,6033
5828,5418,6267,4617,5092,5533,8369,5803,6027,6089,5754,5292,6310
5418,6267,4617,5092,5533,8369,5803,6027,6089,5754,5292,6058,6388
6267,4617,5092,5533,8369,5803,6027,6089,5754,5292,6058,6033,6189
4617,5092,5533,8369,5803,6027,6089,5754,5292,6058,6033,6310,5489
5092,5533,8369,5803,6027,6089,5754,5292,6058,6033,6310,6388,6120
5533,8369,5803,6027,6089,5754,5292,6058,6033,6310,6388,6189,6725
8369,5803,6027,6089,5754,5292,6058,6033,6310,6388,6189,5489,7354
5803,6027,6089,5754,5292,6058,6033,6310,6388,6189,5489,6120,6689
6027,6089,5754,5292,6058,6033,6310,6388,6189,5489,6120,6725,7751
6089,5754,5292,6058,6033,6310,6388,6189,5489,6120,6725,7354,6982
5754,5292,6058,6033,6310,6388,6189,5489,6120,6725,7354,6689,6848
5292,6058,6033,6310,6388,6189,5489,6120,6725,7354,6689,7751,6347
6058,6033,6310,6388,6189,5489,6120,6725,7354,6689,7751,6982,7514
6033,6310,6388,6189,5489,6120,6725,7354,6689,7751,6982,6848,7199
6310,6388,6189,5489,6120,6725,7354,6689,7751,6982,6848,6347,7259
6388,6189,5489,6120,6725,7354,6689,7751,6982,6848,6347,7514,6740
6189,5489,6120,6725,7354,6689,7751,6982,6848,6347,7514,7199,6528
5489,6120,6725,7354,6689,7751,6982,6848,6347,7514,7199,7259,5854
6120,6725,7354,6689,7751,6982,6848,6347,7514,7199,7259,6740,7903
6725,7354,6689,7751,6982,6848,6347,7514,7199,7259,6740,6528,8002
7354,6689,7751,6982,6848,6347,7514,7199,7259,6740,6528,5854,8074
6689,7751,6982,6848,6347,7514,7199,7259,6740,6528,5854,7903,8072
7751,6982,6848,6347,7514,7199,7259,6740,6528,5854,7903,8002,7203
6982,6848,6347,7514,7199,7259,6740,6528,5854,7903,8002,8074,6877
6848,6347,7514,7199,7259,6740,6528,5854,7903,8002,8074,8072,6753
6347,7514,7199,7259,6740,6528,5854,7903,8002,8074,8072,7203,7445
7514,7199,7259,6740,6528,5854,7903,8002,8074,8072,7203,6877,8854
7199,7259,6740,6528,5854,7903,8002,8074,8072,7203,6877,6753,9321
7259,6740,6528,5854,7903,8002,8074,8072,7203,6877,6753,7445,10617
6740,6528,5854,7903,8002,8074,8072,7203,6877,6753,7445,8854,10046
6528,5854,7903,8002,8074,8072,7203,6877,6753,7445,8854,9321,9640
5854,7903,8002,8074,8072,7203,6877,6753,7445,8854,9321,10617,8692
7903,8002,8074,8072,7203,6877,6753,7445,8854,9321,10617,10046,10047
8002,8074,8072,7203,6877,6753,7445,8854,9321,10617,10046,9640,11278
8074,8072,7203,6877,6753,7445,8854,9321,10617,10046,9640,8692,11557
8072,7203,6877,6753,7445,8854,9321,10617,10046,9640,8692,10047,12818
7203,6877,6753,7445,8854,9321,10617,10046,9640,8692,10047,11278,14224
6877,6753,7445,8854,9321,10617,10046,9640,8692,10047,11278,11557,11287
6753,7445,8854,9321,10617,10046,9640,8692,10047,11278,11557,12818,9086
7445,8854,9321,10617,10046,9640,8692,10047,11278,11557,12818,14224,10365
8854,9321,10617,10046,9640,8692,10047,11278,11557,12818,14224,11287,12568
9321,10617,10046,9640,8692,10047,11278,11557,12818,14224,11287,9086,11703
10617,10046,9640,8692,10047,11278,11557,12818,14224,11287,9086,10365,13632
10046,9640,8692,10047,11278,11557,12818,14224,11287,9086,10365,12568,12191
9640,8692,10047,11278,11557,12818,14224,11287,9086,10365,12568,11703,11788
8692,10047,11278,11557,12818,14224,11287,9086,10365,12568,11703,13632,9994
10047,11278,11557,12818,14224,11287,9086,10365,12568,11703,13632,12191,13094
11278,11557,12818,14224,11287,9086,10365,12568,11703,13632,12191,11788,11948
11557,12818,14224,11287,9086,10365,12568,11703,13632,12191,11788,9994,13695
12818,14224,11287,9086,10365,12568,11703,13632,12191,11788,9994,13094,13802
14224,11287,9086,10365,12568,11703,13632,12191,11788,9994,13094,11948,14518
11287,9086,10365,12568,11703,13632,12191,11788,9994,13094,11948,13695,12001
9086,10365,12568,11703,13632,12191,11788,9994,13094,11948,13695,13802,10994
10365,12568,11703,13632,12191,11788,9994,13094,11948,13695,13802,14518,10379
12568,11703,13632,12191,11788,9994,13094,11948,13695,13802,14518,12001,11984
11703,13632,12191,11788,9994,13094,11948,13695,13802,14518,12001,10994,11434
