X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
5008,4682,5937,6142,5325,4345,6731,3712,4549,4860,5504,5265,4829
4682,5937,6142,5325,4345,6731,3712,4549,4860,5504,5265,4723,5702
5937,6142,5325,4345,6731,3712,4549,4860,5504,5265,4723,4127,5656
6142,5325,4345,6731,3712,4549,4860,5504,5265,4723,4127,4829,6177
5325,4345,6731,3712,4549,4860,5504,5265,4723,4127,4829,5702,5363
4345,6731,3712,4549,4860,5504,5265,4723,4127,4829,5702,5656,5041
6731,3712,4549,4860,5504,5265,4723,4127,4829,5702,5656,6177,4585
3712,4549,4860,5504,5265,4723,4127,4829,5702,5656,6177,5363,4952
4549,4860,5504,5265,4723,4127,4829,5702,5656,6177,5363,5041,5549
4860,5504,5265,4723,4127,4829,5702,5656,6177,5363,5041,4585,5720
5504,5265,4723,4127,4829,5702,5656,6177,5363,5041,4585,4952,6243
5265,4723,4127,4829,5702,5656,6177,5363,5041,4585,4952,5549,5436
4723,4127,4829,5702,5656,6177,5363,5041,4585,4952,5549,5720,4544
4127,4829,5702,5656,6177,5363,5041,4585,4952,5549,5720,6243,4402
4829,5702,5656,6177,5363,5041,4585,4952,5549,5720,6243,5436,5944
5702,5656,6177,5363,5041,4585,4952,5549,5720,6243,5436,4544,4656
5656,6177,5363,5041,4585,4952,5549,5720,6243,5436,4544,4402,5241
6177,5363,5041,4585,4952,5549,5720,6243,5436,4544,4402,5944,5833
5363,5041,4585,4952,5549,5720,6243,5436,4544,4402,5944,4656,5500
5041,4585,4952,5549,5720,6243,5436,4544,4402,5944,4656,5241,4512
4585,4952,5549,5720,6243,5436,4544,4402,5944,4656,5241,5833,4394
4952,5549,5720,6243,5436,4544,4402,5944,4656,5241,5833,5500,4730
5549,5720,6243,5436,4544,4402,5944,4656,5241,5833,5500,4512,4369
5720,6243,5436,4544,4402,5944,4656,5241,5833,5500,4512,4394,5285
6243,5436,4544,4402,5944,4656,5241,5833,5500,4512,4394,4730,5647
5436,4544,4402,5944,4656,5241,5833,5500,4512,4394,4730,4369,6327
4544,4402,5944,4656,5241,5833,5500,4512,4394,4730,4369,5285,6130
4402,5944,4656,5241,5833,5500,4512,4394,4730,4369,5285,5647,3922
5944,4656,5241,5833,5500,4512,4394,4730,4369,5285,5647,6327,4891
4656,5241,5833,5500,4512,4394,4730,4369,5285,5647,6327,6130,5021
5241,5833,5500,4512,4394,4730,4369,5285,5647,6327,6130,3922,4608
5833,5500,4512,4394,4730,4369,5285,5647,6327,6130,3922,4891,3448
5500,4512,4394,4730,4369,5285,5647,6327,6130,3922,4891,5021,2633
4512,4394,4730,4369,5285,5647,6327,6130,3922,4891,5021,4608,2385
4394,4730,4369,5285,5647,6327,6130,3922,4891,5021,4608,3448,3080
4730,4369,5285,5647,6327,6130,3922,4891,5021,4608,3448,2633,4295
4369,5285,5647,6327,6130,3922,4891,5021,4608,3448,2633,2385,4185
5285,5647,6327,6130,3922,4891,5021,4608,3448,2633,2385,3080,4871
5647,6327,6130,3922,4891,5021,4608,3448,2633,2385,3080,4295,5797
6327,6130,3922,4891,5021,4608,3448,2633,2385,3080,4295,4185,5746
6130,3922,4891,5021,4608,3448,2633,2385,3080,4295,4185,4871,5296
3922,4891,5021,4608,3448,2633,2385,3080,4295,4185,4871,5797,5280
4891,5021,4608,3448,2633,2385,3080,4295,4185,4871,5797,5746,5907
5021,4608,3448,2633,2385,3080,4295,4185,4871,5797,5746,5296,5060
4608,3448,2633,2385,3080,4295,4185,4871,5797,5746,5296,5280,5034
3448,2633,2385,3080,4295,4185,4871,5797,5746,5296,5280,5907,6278
2633,2385,3080,4295,4185,4871,5797,5746,5296,5280,5907,5060,5862
2385,3080,4295,4185,4871,5797,5746,5296,5280,5907,5060,5034,6565
3080,4295,4185,4871,5797,5746,5296,5280,5907,5060,5034,6278,6115
4295,4185,4871,5797,5746,5296,5280,5907,5060,5034,6278,5862,5662
4185,4871,5797,5746,5296,5280,5907,5060,5034,6278,5862,6565,4824
4871,5797,5746,5296,5280,5907,5060,5034,6278,5862,6565,6115,5246
5797,5746,5296,5280,5907,5060,5034,6278,5862,6565,6115,5662,5353
5746,5296,5280,5907,5060,5034,6278,5862,6565,6115,5662,4824,6486
5296,5280,5907,5060,5034,6278,5862,6565,6115,5662,4824,5246,6594
5280,5907,5060,5034,6278,5862,6565,6115,5662,4824,5246,5353,5832
5907,5060,5034,6278,5862,6565,6115,5662,4824,5246,5353,6486,6993
5060,5034,6278,5862,6565,6115,5662,4824,5246,5353,6486,6594,6294
5034,6278,5862,6565,6115,5662,4824,5246,5353,6486,6594,5832,7725
6278,5862,6565,6115,5662,4824,5246,5353,6486,6594,5832,6993,8892
5862,6565,6115,5662,4824,5246,5353,6486,6594,5832,6993,6294,8083
6565,6115,5662,4824,5246,5353,6486,6594,5832,6993,6294,7725,7465
6115,5662,4824,5246,5353,6486,6594,5832,6993,6294,7725,8892,9868
5662,4824,5246,5353,6486,6594,5832,6993,6294,7725,8892,8083,8189
4824,5246,5353,6486,6594,5832,6993,6294,7725,8892,8083,7465,8161
5246,5353,6486,6594,5832,6993,6294,7725,8892,8083,7465,9868,9944
5353,6486,6594,5832,6993,6294,7725,8892,8083,7465,9868,8189,12624
6486,6594,5832,6993,6294,7725,8892,8083,7465,9868,8189,8161,12990
6594,5832,6993,6294,7725,8892,8083,7465,9868,8189,8161,9944,12906
5832,6993,6294,7725,8892,8083,7465,9868,8189,8161,9944,12624,13737
6993,6294,7725,8892,8083,7465,9868,8189,8161,9944,12624,12990,14536
6294,7725,8892,8083,7465,9868,8189,8161,9944,12624,12990,12906,13668
7725,8892,8083,7465,9868,8189,8161,9944,12624,12990,12906,13737,15308
8892,8083,7465,9868,8189,8161,9944,12624,12990,12906,13737,14536,20574
8083,7465,9868,8189,8161,9944,12624,12990,12906,13737,14536,13668,18872
7465,9868,8189,8161,9944,12624,12990,12906,13737,14536,13668,15308,21095
9868,8189,8161,9944,12624,12990,12906,13737,14536,13668,15308,20574,21342
8189,8161,9944,12624,12990,12906,13737,14536,13668,15308,20574,18872,20694
8161,9944,12624,12990,12906,13737,14536,13668,15308,20574,18872,21095,20467
9944,12624,12990,12906,13737,14536,13668,15308,20574,18872,21095,21342,21807
12624,12990,12906,13737,14536,13668,15308,20574,18872,21095,21342,20694,24836
12990,12906,13737,14536,13668,15308,20574,18872,21095,21342,20694,20467,25830
12906,13737,14536,13668,15308,20574,18872,21095,21342,20694,20467,21807,27913
13737,14536,13668,15308,20574,18872,21095,21342,20694,20467,21807,24836,27233
14536,13668,15308,20574,18872,21095,21342,20694,20467,21807,24836,25830,29745
13668,15308,20574,18872,21095,21342,20694,20467,21807,24836,25830,27913,31189
15308,20574,18872,21095,21342,20694,20467,21807,24836,25830,27913,27233,34379
20574,18872,21095,21342,20694,20467,21807,24836,25830,27913,27233,29745,38391
18872,21095,21342,20694,20467,21807,24836,25830,27913,27233,29745,31189,38124
21095,21342,20694,20467,21807,24836,25830,27913,27233,29745,31189,34379,35094
21342,20694,20467,21807,24836,25830,27913,27233,29745,31189,34379,38391,36197
20694,20467,21807,24836,25830,27913,27233,29745,31189,34379,38391,38124,40427
20467,21807,24836,25830,27913,27233,29745,31189,34379,38391,38124,35094,47899
21807,24836,25830,27913,27233,29745,31189,34379,38391,38124,35094,36197,54517
24836,25830,27913,27233,29745,31189,34379,38391,38124,35094,36197,40427,56757
25830,27913,27233,29745,31189,34379,38391,38124,35094,36197,40427,47899,54000
27913,27233,29745,31189,34379,38391,38124,35094,36197,40427,47899,54517,51952
27233,29745,31189,34379,38391,38124,35094,36197,40427,47899,54517,56757,44721
29745,31189,34379,38391,38124,35094,36197,40427,47899,54517,56757,54000,34257
31189,34379,38391,38124,35094,36197,40427,47899,54517,56757,54000,51952,38325
34379,38391,38124,35094,36197,40427,47899,54517,56757,54000,51952,44721,33772
38391,38124,35094,36197,40427,47899,54517,56757,54000,51952,44721,34257,49509
38124,35094,36197,40427,47899,54517,56757,54000,51952,44721,34257,38325,49071
35094,36197,40427,47899,54517,56757,54000,51952,44721,34257,38325,33772,45416
36197,40427,47899,54517,56757,54000,51952,44721,34257,38325,33772,49509,38679
40427,47899,54517,56757,54000,51952,44721,34257,38325,33772,49509,49071,28228
47899,54517,56757,54000,51952,44721,34257,38325,33772,49509,49071,45416,45203
54517,56757,54000,51952,44721,34257,38325,33772,49509,49071,45416,38679,47791
56757,54000,51952,44721,34257,38325,33772,49509,49071,45416,38679,28228,43479
54000,51952,44721,34257,38325,33772,49509,49071,45416,38679,28228,45203,41168
51952,44721,34257,38325,33772,49509,49071,45416,38679,28228,45203,47791,37284
44721,34257,38325,33772,49509,49071,45416,38679,28228,45203,47791,43479,30738
34257,38325,33772,49509,49071,45416,38679,28228,45203,47791,43479,41168,22404
38325,33772,49509,49071,45416,38679,28228,45203,47791,43479,41168,37284,33900
33772,49509,49071,45416,38679,28228,45203,47791,43479,41168,37284,30738,35867
49509,49071,45416,38679,28228,45203,47791,43479,41168,37284,30738,22404,35764
49071,45416,38679,28228,45203,47791,43479,41168,37284,30738,22404,33900,39532
45416,38679,28228,45203,47791,43479,41168,37284,30738,22404,33900,35867,31753
38679,28228,45203,47791,43479,41168,37284,30738,22404,33900,35867,35764,26415
28228,45203,47791,43479,41168,37284,30738,22404,33900,35867,35764,39532,20709
45203,47791,43479,41168,37284,30738,22404,33900,35867,35764,39532,31753,32081
47791,43479,41168,37284,30738,22404,33900,35867,35764,39532,31753,26415,30625
43479,41168,37284,30738,22404,33900,35867,35764,39532,31753,26415,20709,24709
41168,37284,30738,22404,33900,35867,35764,39532,31753,26415,20709,32081,30788
37284,30738,22404,33900,35867,35764,39532,31753,26415,20709,32081,30625,28598
30738,22404,33900,35867,35764,39532,31753,26415,20709,32081,30625,24709,20813
22404,33900,35867,35764,39532,31753,26415,20709,32081,30625,24709,30788,17384
33900,35867,35764,39532,31753,26415,20709,32081,30625,24709,30788,28598,20741
35867,35764,39532,31753,26415,20709,32081,30625,24709,30788,28598,20813,15768
35764,39532,31753,26415,20709,32081,30625,24709,30788,28598,20813,17384,22053
39532,31753,26415,20709,32081,30625,24709,30788,28598,20813,17384,20741,20004
31753,26415,20709,32081,30625,24709,30788,28598,20813,17384,20741,15768,16744
26415,20709,32081,30625,24709,30788,28598,20813,17384,20741,15768,22053,12408
20709,32081,30625,24709,30788,28598,20813,17384,20741,15768,22053,20004,9604
32081,30625,24709,30788,28598,20813,17384,20741,15768,22053,20004,16744,19106
30625,24709,30788,28598,20813,17384,20741,15768,22053,20004,16744,12408,18671
24709,30788,28598,20813,17384,20741,15768,22053,20004,16744,12408,9604,16899
30788,28598,20813,17384,20741,15768,22053,20004,16744,12408,9604,19106,12618
28598,20813,17384,20741,15768,22053,20004,16744,12408,9604,19106,18671,10050
20813,17384,20741,15768,22053,20004,16744,12408,9604,19106,18671,16899,7427
17384,20741,15768,22053,20004,16744,12408,9604,19106,18671,16899,12618,5436
20741,15768,22053,20004,16744,12408,9604,19106,18671,16899,12618,10050,10534
